k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,10,SAT_10,15,16000000000,42,30.0,25000000.0,0.639291,153429805060
1,11,SAT_11,15,16000000000,42,30.0,25000000.0,0.637885,153092511387
1,5,SAT_5,15,16000000000,42,30.0,25000000.0,0.636421,152741034150
1,0,SAT_0,15,16000000000,42,30.0,25000000.0,0.639187,153404831085
1,14,SAT_14,15,16000000000,42,30.0,25000000.0,0.639932,153583648799
1,2,SAT_2,15,16000000000,42,30.0,25000000.0,0.641353,153924791367
1,8,SAT_8,15,16000000000,42,30.0,25000000.0,0.641647,153995393256
1,3,SAT_3,15,16000000000,42,30.0,25000000.0,0.640792,153790075140
1,9,SAT_9,15,16000000000,42,30.0,25000000.0,0.637987,153116782338
1,13,SAT_13,15,16000000000,42,30.0,25000000.0,0.641758,154021901075
1,7,SAT_7,15,16000000000,42,30.0,25000000.0,0.639509,153482083244
1,1,SAT_1,15,16000000000,42,30.0,25000000.0,0.638022,153125387298
1,4,SAT_4,15,16000000000,42,30.0,25000000.0,0.639219,153412677278
1,6,SAT_6,15,16000000000,42,30.0,25000000.0,0.641531,153967369991
1,12,SAT_12,15,16000000000,42,30.0,25000000.0,0.636418,152740218320
2,3,"SAT_8,SAT_14",15,16000000000,42,30.0,25000000.0,0.627615,150627680289
2,1,"SAT_5,SAT_12",15,16000000000,42,30.0,25000000.0,0.622832,149479585734
2,2,"SAT_6,SAT_7",15,16000000000,42,30.0,25000000.0,0.625063,150015045351
2,7,"SAT_2,SAT_4",15,16000000000,42,30.0,25000000.0,0.627373,150569622862
2,0,"SAT_4,SAT_7",15,16000000000,42,30.0,25000000.0,0.489439,117465241983
2,6,"SAT_3,SAT_13",15,16000000000,42,30.0,25000000.0,0.628993,150958424552
2,4,"SAT_1,SAT_2",15,16000000000,42,30.0,25000000.0,0.625238,150057020761
2,9,"SAT_0,SAT_4",15,16000000000,42,30.0,25000000.0,0.623599,149663813919
2,13,"SAT_0,SAT_2",15,16000000000,42,30.0,25000000.0,0.624675,149922008634
2,8,"SAT_2,SAT_13",15,16000000000,42,30.0,25000000.0,0.630664,151359457418
2,5,"SAT_1,SAT_10",15,16000000000,42,30.0,25000000.0,0.624166,149799786957
2,11,"SAT_11,SAT_13",15,16000000000,42,30.0,25000000.0,0.597378,143370812551
2,10,"SAT_10,SAT_13",15,16000000000,42,30.0,25000000.0,0.549879,131971003262
2,12,"SAT_6,SAT_10",15,16000000000,42,30.0,25000000.0,0.62554,150129520122
2,14,"SAT_0,SAT_13",15,16000000000,42,30.0,25000000.0,0.614567,147496049322
2,16,"SAT_5,SAT_11",15,16000000000,42,30.0,25000000.0,0.622642,149434095885
2,15,"SAT_1,SAT_8",15,16000000000,42,30.0,25000000.0,0.625683,150163986742
2,17,"SAT_2,SAT_14",15,16000000000,42,30.0,25000000.0,0.627978,150714615979
2,23,"SAT_3,SAT_10",15,16000000000,42,30.0,25000000.0,0.625817,150196100613
2,24,"SAT_0,SAT_10",15,16000000000,42,30.0,25000000.0,0.623671,149681017899
2,19,"SAT_10,SAT_14",15,16000000000,42,30.0,25000000.0,0.534001,128160153853
2,25,"SAT_3,SAT_8",15,16000000000,42,30.0,25000000.0,0.626624,150389850442
2,26,"SAT_2,SAT_12",15,16000000000,42,30.0,25000000.0,0.626751,150420124773
2,22,"SAT_3,SAT_6",15,16000000000,42,30.0,25000000.0,0.627976,150714318537
2,18,"SAT_7,SAT_12",15,16000000000,42,30.0,25000000.0,0.533727,128094368171
2,27,"SAT_11,SAT_14",15,16000000000,42,30.0,25000000.0,0.624959,149990249932
2,21,"SAT_4,SAT_6",15,16000000000,42,30.0,25000000.0,0.603613,144867180048
3,1,"SAT_2,SAT_7,SAT_14",15,16000000000,42,30.0,25000000.0,0.617173,148121574352
2,29,"SAT_8,SAT_13",15,16000000000,42,30.0,25000000.0,0.630271,151265032322
2,20,"SAT_6,SAT_13",15,16000000000,42,30.0,25000000.0,0.597779,143466947426
2,28,"SAT_9,SAT_13",15,16000000000,42,30.0,25000000.0,0.599201,143808358226
3,2,"SAT_3,SAT_5,SAT_10",15,16000000000,42,30.0,25000000.0,0.573874,137729850859
