k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,1,SAT_1,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,4,SAT_4,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,8,SAT_8,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,10,SAT_10,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,5,SAT_5,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,11,SAT_11,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,9,SAT_9,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,3,SAT_3,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,14,SAT_14,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,0,SAT_0,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,7,SAT_7,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,2,SAT_2,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,12,SAT_12,15,8000000000,42,30.0,25000000.0,1.0,120000000000
1,6,SAT_6,15,8000000000,42,30.0,25000000.0,1.0,119999999999
1,13,SAT_13,15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,4,"SAT_1,SAT_2",15,8000000000,42,30.0,25000000.0,0.966536,115984374674
2,3,"SAT_8,SAT_14",15,8000000000,42,30.0,25000000.0,1.0,119999999999
2,5,"SAT_1,SAT_10",15,8000000000,42,30.0,25000000.0,1.0,119999999999
2,0,"SAT_4,SAT_7",15,8000000000,42,30.0,25000000.0,0.727132,87255834183
2,8,"SAT_2,SAT_13",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,2,"SAT_6,SAT_7",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,7,"SAT_2,SAT_4",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,9,"SAT_0,SAT_4",15,8000000000,42,30.0,25000000.0,0.974302,116916287969
2,1,"SAT_5,SAT_12",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,6,"SAT_3,SAT_13",15,8000000000,42,30.0,25000000.0,0.958495,115019356036
2,12,"SAT_6,SAT_10",15,8000000000,42,30.0,25000000.0,1.0,119999999999
2,13,"SAT_0,SAT_2",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,11,"SAT_11,SAT_13",15,8000000000,42,30.0,25000000.0,0.997133,119655953465
2,10,"SAT_10,SAT_13",15,8000000000,42,30.0,25000000.0,0.899758,107971003262
2,14,"SAT_0,SAT_13",15,8000000000,42,30.0,25000000.0,0.952888,114346518211
2,15,"SAT_1,SAT_8",15,8000000000,42,30.0,25000000.0,0.977658,117318962816
2,16,"SAT_5,SAT_11",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,17,"SAT_2,SAT_14",15,8000000000,42,30.0,25000000.0,1.0,120000000000
2,18,"SAT_7,SAT_12",15,8000000000,42,30.0,25000000.0,0.881164,105739732837
2,19,"SAT_10,SAT_14",15,8000000000,42,30.0,25000000.0,0.853271,102392544362
