k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,3,SAT_3,15,8000000000,42,70.0,500000.0,0.195252,23430239915
1,1,SAT_1,15,8000000000,42,70.0,500000.0,0.201996,24239462706
1,12,SAT_12,15,8000000000,42,70.0,500000.0,0.177289,21274643556
1,13,SAT_13,15,8000000000,42,70.0,500000.0,0.19569,23482805850
1,6,SAT_6,15,8000000000,42,70.0,500000.0,0.193674,23240928651
1,5,SAT_5,15,8000000000,42,70.0,500000.0,0.194682,23361880213
1,0,SAT_0,15,8000000000,42,70.0,500000.0,0.195154,23418518376
1,11,SAT_11,15,8000000000,42,70.0,500000.0,0.198891,23866938217
1,2,SAT_2,15,8000000000,42,70.0,500000.0,0.190101,22812139731
1,10,SAT_10,15,8000000000,42,70.0,500000.0,0.198437,23812447471
1,7,SAT_7,15,8000000000,42,70.0,500000.0,0.197851,23742080689
1,8,SAT_8,15,8000000000,42,70.0,500000.0,0.193906,23268744953
1,14,SAT_14,15,8000000000,42,70.0,500000.0,0.194434,23332130307
1,9,SAT_9,15,8000000000,42,70.0,500000.0,0.201726,24207100200
1,4,SAT_4,15,8000000000,42,70.0,500000.0,0.199372,23924642695
2,1,"SAT_5,SAT_12",15,8000000000,42,70.0,500000.0,0.304104,36492483679
2,5,"SAT_1,SAT_10",15,8000000000,42,70.0,500000.0,0.357558,42906972202
2,3,"SAT_8,SAT_14",15,8000000000,42,70.0,500000.0,0.357726,42927091104
2,4,"SAT_1,SAT_2",15,8000000000,42,70.0,500000.0,0.358299,42995854337
2,7,"SAT_2,SAT_4",15,8000000000,42,70.0,500000.0,0.359778,43173318143
2,0,"SAT_4,SAT_7",15,8000000000,42,70.0,500000.0,0.29297,35156442683
2,2,"SAT_6,SAT_7",15,8000000000,42,70.0,500000.0,0.334494,40139314943
2,12,"SAT_6,SAT_10",15,8000000000,42,70.0,500000.0,0.36171,43405140023
2,6,"SAT_3,SAT_13",15,8000000000,42,70.0,500000.0,0.329608,39552911477
2,9,"SAT_0,SAT_4",15,8000000000,42,70.0,500000.0,0.364078,43689310687
2,13,"SAT_0,SAT_2",15,8000000000,42,70.0,500000.0,0.349276,41913093667
2,8,"SAT_2,SAT_13",15,8000000000,42,70.0,500000.0,0.357841,42940932271
2,14,"SAT_0,SAT_13",15,8000000000,42,70.0,500000.0,0.328897,39467620400
2,11,"SAT_11,SAT_13",15,8000000000,42,70.0,500000.0,0.364121,43694515415
2,10,"SAT_10,SAT_13",15,8000000000,42,70.0,500000.0,0.330739,39688628171
2,17,"SAT_2,SAT_14",15,8000000000,42,70.0,500000.0,0.355573,42668768500
2,19,"SAT_10,SAT_14",15,8000000000,42,70.0,500000.0,0.328001,39360162767
2,18,"SAT_7,SAT_12",15,8000000000,42,70.0,500000.0,0.297457,35694853010
2,16,"SAT_5,SAT_11",15,8000000000,42,70.0,500000.0,0.35529,42634797521
2,21,"SAT_4,SAT_6",15,8000000000,42,70.0,500000.0,0.364863,43783619541
2,15,"SAT_1,SAT_8",15,8000000000,42,70.0,500000.0,0.372245,44669396729
2,23,"SAT_3,SAT_10",15,8000000000,42,70.0,500000.0,0.363941,43672977203
2,20,"SAT_6,SAT_13",15,8000000000,42,70.0,500000.0,0.263845,31661381019
2,24,"SAT_0,SAT_10",15,8000000000,42,70.0,500000.0,0.366229,43947517637
2,28,"SAT_9,SAT_13",15,8000000000,42,70.0,500000.0,0.36486,43783197029
2,22,"SAT_3,SAT_6",15,8000000000,42,70.0,500000.0,0.337818,40538179817
2,25,"SAT_3,SAT_8",15,8000000000,42,70.0,500000.0,0.329647,39557618302
2,29,"SAT_8,SAT_13",15,8000000000,42,70.0,500000.0,0.338646,40637545216
2,27,"SAT_11,SAT_14",15,8000000000,42,70.0,500000.0,0.367497,44099624222
2,26,"SAT_2,SAT_12",15,8000000000,42,70.0,500000.0,0.343963,41275528812
3,0,"SAT_1,SAT_6,SAT_13",15,8000000000,42,70.0,500000.0,0.403706,48444739835
3,2,"SAT_3,SAT_5,SAT_10",15,8000000000,42,70.0,500000.0,0.469668,56360129664
3,4,"SAT_0,SAT_4,SAT_10",15,8000000000,42,70.0,500000.0,0.444756,53370691022
3,6,"SAT_2,SAT_3,SAT_8",15,8000000000,42,70.0,500000.0,0.411274,49352875582
3,5,"SAT_1,SAT_9,SAT_11",15,8000000000,42,70.0,500000.0,0.348277,41793208484
3,1,"SAT_2,SAT_7,SAT_14",15,8000000000,42,70.0,500000.0,0.480461,57655315997
3,3,"SAT_1,SAT_5,SAT_13",15,8000000000,42,70.0,500000.0,0.41291,49549219579
3,12,"SAT_1,SAT_7,SAT_12",15,8000000000,42,70.0,500000.0,0.414779,49773499943
3,7,"SAT_0,SAT_1,SAT_13",15,8000000000,42,70.0,500000.0,0.449831,53979702380
3,8,"SAT_0,SAT_4,SAT_6",15,8000000000,42,70.0,500000.0,0.48857,58628391752
3,9,"SAT_3,SAT_5,SAT_8",15,8000000000,42,70.0,500000.0,0.47162,56594384123
3,13,"SAT_7,SAT_10,SAT_14",15,8000000000,42,70.0,500000.0,0.4583,54995955050
3,10,"SAT_0,SAT_1,SAT_7",15,8000000000,42,70.0,500000.0,0.429966,51595881942
3,11,"SAT_0,SAT_6,SAT_10",15,8000000000,42,70.0,500000.0,0.459256,55110700103
3,14,"SAT_0,SAT_6,SAT_12",15,8000000000,42,70.0,500000.0,0.456991,54838930368
3,15,"SAT_1,SAT_10,SAT_11",15,8000000000,42,70.0,500000.0,0.422795,50735380676
3,17,"SAT_6,SAT_8,SAT_11",15,8000000000,42,70.0,500000.0,0.471785,56614191877
3,18,"SAT_4,SAT_12,SAT_13",15,8000000000,42,70.0,500000.0,0.401577,48189256923
3,19,"SAT_0,SAT_2,SAT_8",15,8000000000,42,70.0,500000.0,0.429289,51514653957
3,20,"SAT_4,SAT_8,SAT_14",15,8000000000,42,70.0,500000.0,0.428967,51476027528
3,22,"SAT_0,SAT_7,SAT_14",15,8000000000,42,70.0,500000.0,0.445517,53462047918
3,16,"SAT_9,SAT_10,SAT_13",15,8000000000,42,70.0,500000.0,0.477356,57282721773
3,21,"SAT_0,SAT_3,SAT_13",15,8000000000,42,70.0,500000.0,0.422369,50684333800
3,26,"SAT_1,SAT_3,SAT_9",15,8000000000,42,70.0,500000.0,0.438529,52623429793
3,24,"SAT_6,SAT_7,SAT_14",15,8000000000,42,70.0,500000.0,0.44755,53706058550
3,23,"SAT_7,SAT_9,SAT_12",15,8000000000,42,70.0,500000.0,0.404899,48587834285
3,28,"SAT_6,SAT_10,SAT_11",15,8000000000,42,70.0,500000.0,0.481505,57780642962
3,25,"SAT_0,SAT_9,SAT_12",15,8000000000,42,70.0,500000.0,0.393484,47218029348
3,27,"SAT_8,SAT_13,SAT_14",15,8000000000,42,70.0,500000.0,0.465295,55835380702
3,29,"SAT_5,SAT_11,SAT_14",15,8000000000,42,70.0,500000.0,0.490571,58868538666
4,0,"SAT_0,SAT_3,SAT_5,SAT_8",15,8000000000,42,70.0,500000.0,0.508158,60978948563
4,1,"SAT_2,SAT_7,SAT_8,SAT_14",15,8000000000,42,70.0,500000.0,0.553062,66367414351
4,2,"SAT_0,SAT_2,SAT_3,SAT_7",15,8000000000,42,70.0,500000.0,0.499498,59939783821
4,5,"SAT_1,SAT_3,SAT_8,SAT_13",15,8000000000,42,70.0,500000.0,0.56177,67412348813
4,3,"SAT_5,SAT_8,SAT_9,SAT_11",15,8000000000,42,70.0,500000.0,0.547494,65699298965
4,9,"SAT_5,SAT_7,SAT_10,SAT_12",15,8000000000,42,70.0,500000.0,0.534621,64154522693
4,4,"SAT_5,SAT_7,SAT_12,SAT_13",15,8000000000,42,70.0,500000.0,0.531889,63826650377
4,6,"SAT_7,SAT_8,SAT_9,SAT_14",15,8000000000,42,70.0,500000.0,0.536251,64350148858
4,7,"SAT_4,SAT_5,SAT_9,SAT_10",15,8000000000,42,70.0,500000.0,0.437595,52511360882
4,8,"SAT_0,SAT_7,SAT_8,SAT_12",15,8000000000,42,70.0,500000.0,0.516628,61995333982
4,10,"SAT_4,SAT_7,SAT_8,SAT_11",15,8000000000,42,70.0,500000.0,0.501876,60225160748
4,11,"SAT_0,SAT_1,SAT_9,SAT_12",15,8000000000,42,70.0,500000.0,0.461605,55392560956
4,12,"SAT_0,SAT_1,SAT_8,SAT_14",15,8000000000,42,70.0,500000.0,0.512266,61471965064
4,13,"SAT_0,SAT_2,SAT_12,SAT_13",15,8000000000,42,70.0,500000.0,0.543825,65258963605
4,14,"SAT_2,SAT_3,SAT_4,SAT_10",15,8000000000,42,70.0,500000.0,0.551507,66180794310
4,16,"SAT_0,SAT_2,SAT_6,SAT_10",15,8000000000,42,70.0,500000.0,0.558545,67025401623
4,15,"SAT_6,SAT_12,SAT_13,SAT_14",15,8000000000,42,70.0,500000.0,0.498041,59764910838
4,17,"SAT_0,SAT_1,SAT_9,SAT_10",15,8000000000,42,70.0,500000.0,0.500834,60100086282
