k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,3,SAT_3,15,8000000000,42,70.0,1000000.0,0.325881,39105706214
1,11,SAT_11,15,8000000000,42,70.0,1000000.0,0.334345,40121380710
1,12,SAT_12,15,8000000000,42,70.0,1000000.0,0.289002,34680239526
1,4,SAT_4,15,8000000000,42,70.0,1000000.0,0.335344,40241331422
1,10,SAT_10,15,8000000000,42,70.0,1000000.0,0.333398,40007791229
1,5,SAT_5,15,8000000000,42,70.0,1000000.0,0.324537,38944381619
1,6,SAT_6,15,8000000000,42,70.0,1000000.0,0.302348,36281734381
1,1,SAT_1,15,8000000000,42,70.0,1000000.0,0.341112,40933479897
1,8,SAT_8,15,8000000000,42,70.0,1000000.0,0.322833,38739951970
1,0,SAT_0,15,8000000000,42,70.0,1000000.0,0.324992,38999067683
1,13,SAT_13,15,8000000000,42,70.0,1000000.0,0.326573,39188731445
1,2,SAT_2,15,8000000000,42,70.0,1000000.0,0.314513,37741554094
1,9,SAT_9,15,8000000000,42,70.0,1000000.0,0.340854,40902479938
1,14,SAT_14,15,8000000000,42,70.0,1000000.0,0.324287,38914417533
1,7,SAT_7,15,8000000000,42,70.0,1000000.0,0.331838,39820560652
2,1,"SAT_5,SAT_12",15,8000000000,42,70.0,1000000.0,0.494478,59337320453
2,2,"SAT_6,SAT_7",15,8000000000,42,70.0,1000000.0,0.550623,66074807347
2,4,"SAT_1,SAT_2",15,8000000000,42,70.0,1000000.0,0.594271,71312506794
2,3,"SAT_8,SAT_14",15,8000000000,42,70.0,1000000.0,0.616855,74022565928
2,0,"SAT_4,SAT_7",15,8000000000,42,70.0,1000000.0,0.456482,54777837656
2,13,"SAT_0,SAT_2",15,8000000000,42,70.0,1000000.0,0.587505,70500619990
2,10,"SAT_10,SAT_13",15,8000000000,42,70.0,1000000.0,0.546277,65553286583
2,7,"SAT_2,SAT_4",15,8000000000,42,70.0,1000000.0,0.638558,76626970121
2,6,"SAT_3,SAT_13",15,8000000000,42,70.0,1000000.0,0.55618,66741613872
2,5,"SAT_1,SAT_10",15,8000000000,42,70.0,1000000.0,0.611517,73382014391
2,11,"SAT_11,SAT_13",15,8000000000,42,70.0,1000000.0,0.587027,70443267964
2,8,"SAT_2,SAT_13",15,8000000000,42,70.0,1000000.0,0.564949,67793870468
2,9,"SAT_0,SAT_4",15,8000000000,42,70.0,1000000.0,0.635653,76278400861
2,12,"SAT_6,SAT_10",15,8000000000,42,70.0,1000000.0,0.61626,73951152753
2,14,"SAT_0,SAT_13",15,8000000000,42,70.0,1000000.0,0.55992,67190437186
2,15,"SAT_1,SAT_8",15,8000000000,42,70.0,1000000.0,0.658563,79027599296
2,16,"SAT_5,SAT_11",15,8000000000,42,70.0,1000000.0,0.619612,74353447343
2,17,"SAT_2,SAT_14",15,8000000000,42,70.0,1000000.0,0.626506,75180665032
2,18,"SAT_7,SAT_12",15,8000000000,42,70.0,1000000.0,0.47762,57314403509
2,21,"SAT_4,SAT_6",15,8000000000,42,70.0,1000000.0,0.573746,68849578533
2,19,"SAT_10,SAT_14",15,8000000000,42,70.0,1000000.0,0.53162,63794392353
2,22,"SAT_3,SAT_6",15,8000000000,42,70.0,1000000.0,0.529588,63550527500
2,26,"SAT_2,SAT_12",15,8000000000,42,70.0,1000000.0,0.592567,71108081491
2,23,"SAT_3,SAT_10",15,8000000000,42,70.0,1000000.0,0.619566,74347940560
2,25,"SAT_3,SAT_8",15,8000000000,42,70.0,1000000.0,0.554831,66579662111
2,20,"SAT_6,SAT_13",15,8000000000,42,70.0,1000000.0,0.41471,49765176273
2,24,"SAT_0,SAT_10",15,8000000000,42,70.0,1000000.0,0.640026,76803089190
2,27,"SAT_11,SAT_14",15,8000000000,42,70.0,1000000.0,0.654942,78593025180
2,28,"SAT_9,SAT_13",15,8000000000,42,70.0,1000000.0,0.593491,71218939483
2,29,"SAT_8,SAT_13",15,8000000000,42,70.0,1000000.0,0.563484,67618038863
3,1,"SAT_2,SAT_7,SAT_14",15,8000000000,42,70.0,1000000.0,0.764236,91708307720
3,0,"SAT_1,SAT_6,SAT_13",15,8000000000,42,70.0,1000000.0,0.569636,68356339860
3,3,"SAT_1,SAT_5,SAT_13",15,8000000000,42,70.0,1000000.0,0.617461,74095361586
3,4,"SAT_0,SAT_4,SAT_10",15,8000000000,42,70.0,1000000.0,0.633227,75987252811
3,5,"SAT_1,SAT_9,SAT_11",15,8000000000,42,70.0,1000000.0,0.449545,53945453733
3,2,"SAT_3,SAT_5,SAT_10",15,8000000000,42,70.0,1000000.0,0.746999,89639922660
