k,combo_id,relay_subset,n_satellites,v_bits,seed,gs_reconfig_s,xl_rate_bps,completion_ratio,total_delivered_bits
1,3,SAT_3,15,8000000000,42,70.0,1000000.0,0.325881,39105706214
1,11,SAT_11,15,8000000000,42,70.0,1000000.0,0.334345,40121380710
1,8,SAT_8,15,8000000000,42,70.0,1000000.0,0.322833,38739951970
1,12,SAT_12,15,8000000000,42,70.0,1000000.0,0.289002,34680239526
1,4,SAT_4,15,8000000000,42,70.0,1000000.0,0.335344,40241331422
1,5,SAT_5,15,8000000000,42,70.0,1000000.0,0.324537,38944381619
1,9,SAT_9,15,8000000000,42,70.0,1000000.0,0.340854,40902479938
1,0,SAT_0,15,8000000000,42,70.0,1000000.0,0.324992,38999067683
1,13,SAT_13,15,8000000000,42,70.0,1000000.0,0.326573,39188731445
1,14,SAT_14,15,8000000000,42,70.0,1000000.0,0.324287,38914417533
1,1,SAT_1,15,8000000000,42,70.0,1000000.0,0.341112,40933479897
1,6,SAT_6,15,8000000000,42,70.0,1000000.0,0.302348,36281734381
1,2,SAT_2,15,8000000000,42,70.0,1000000.0,0.314513,37741554094
1,7,SAT_7,15,8000000000,42,70.0,1000000.0,0.331838,39820560652
1,10,SAT_10,15,8000000000,42,70.0,1000000.0,0.333398,40007791229
2,0,"SAT_4,SAT_7",15,8000000000,42,70.0,1000000.0,0.463338,55600588090
2,4,"SAT_1,SAT_2",15,8000000000,42,70.0,1000000.0,0.593956,71274713447
2,2,"SAT_6,SAT_7",15,8000000000,42,70.0,1000000.0,0.550658,66078941630
2,1,"SAT_5,SAT_12",15,8000000000,42,70.0,1000000.0,0.494377,59325183595
2,3,"SAT_8,SAT_14",15,8000000000,42,70.0,1000000.0,0.625083,75009927977
2,6,"SAT_3,SAT_13",15,8000000000,42,70.0,1000000.0,0.563455,67614591011
2,8,"SAT_2,SAT_13",15,8000000000,42,70.0,1000000.0,0.564949,67793870468
2,7,"SAT_2,SAT_4",15,8000000000,42,70.0,1000000.0,0.640687,76882443746
2,5,"SAT_1,SAT_10",15,8000000000,42,70.0,1000000.0,0.616228,73947368893
2,11,"SAT_11,SAT_13",15,8000000000,42,70.0,1000000.0,0.586734,70408060542
2,12,"SAT_6,SAT_10",15,8000000000,42,70.0,1000000.0,0.616286,73954343931
2,10,"SAT_10,SAT_13",15,8000000000,42,70.0,1000000.0,0.546432,65571803512
2,9,"SAT_0,SAT_4",15,8000000000,42,70.0,1000000.0,0.640672,76880631677
2,14,"SAT_0,SAT_13",15,8000000000,42,70.0,1000000.0,0.559743,67169140647
2,13,"SAT_0,SAT_2",15,8000000000,42,70.0,1000000.0,0.587263,70471588588
2,16,"SAT_5,SAT_11",15,8000000000,42,70.0,1000000.0,0.619479,74337524994
2,17,"SAT_2,SAT_14",15,8000000000,42,70.0,1000000.0,0.63033,75639547199
2,15,"SAT_1,SAT_8",15,8000000000,42,70.0,1000000.0,0.658268,78992170692
2,20,"SAT_6,SAT_13",15,8000000000,42,70.0,1000000.0,0.41471,49765176273
2,21,"SAT_4,SAT_6",15,8000000000,42,70.0,1000000.0,0.573571,68828571577
2,19,"SAT_10,SAT_14",15,8000000000,42,70.0,1000000.0,0.542633,65115919532
2,22,"SAT_3,SAT_6",15,8000000000,42,70.0,1000000.0,0.539811,64777335495
2,24,"SAT_0,SAT_10",15,8000000000,42,70.0,1000000.0,0.644281,77313666037
2,18,"SAT_7,SAT_12",15,8000000000,42,70.0,1000000.0,0.480691,57682962294
2,25,"SAT_3,SAT_8",15,8000000000,42,70.0,1000000.0,0.56192,67430439074
2,23,"SAT_3,SAT_10",15,8000000000,42,70.0,1000000.0,0.630255,75630569057
2,27,"SAT_11,SAT_14",15,8000000000,42,70.0,1000000.0,0.65475,78569991205
2,26,"SAT_2,SAT_12",15,8000000000,42,70.0,1000000.0,0.592525,71102940593
2,28,"SAT_9,SAT_13",15,8000000000,42,70.0,1000000.0,0.593227,71187214058
2,29,"SAT_8,SAT_13",15,8000000000,42,70.0,1000000.0,0.567011,68041289806
3,1,"SAT_2,SAT_7,SAT_14",15,8000000000,42,70.0,1000000.0,0.747856,89742689470
3,0,"SAT_1,SAT_6,SAT_13",15,8000000000,42,70.0,1000000.0,0.526508,63180996338
3,4,"SAT_0,SAT_4,SAT_10",15,8000000000,42,70.0,1000000.0,0.603481,72417731422
3,3,"SAT_1,SAT_5,SAT_13",15,8000000000,42,70.0,1000000.0,0.573423,68810708721
3,6,"SAT_2,SAT_3,SAT_8",15,8000000000,42,70.0,1000000.0,0.593376,71205078650
3,2,"SAT_3,SAT_5,SAT_10",15,8000000000,42,70.0,1000000.0,0.715233,85827918063
